KOJIN ID,Formula,DFT enthalpy,Total energy
035CID12259, C2H5N1O3F0, -51.211091242504, -225266.425620428020
036CID10979, C3H7N1O2F0, -46.115876057059, -202772.761806151266
037CID164756, C4H9N1O3F0, -73.253971076336, -274516.485479142184
038CID10996, C4H9N1O2F0, -54.946613106658, -227396.054094500032
039CID11672, C4H9N1O2F0, -61.470560954067, -227402.739312288941
040CID143467, C4H4N4O7F0, -2.257678510278, -563965.102493449498
041CID23506, C5H10N2O2F0, -29.432312421295, -285934.659482426519
042CID11473, C6H5N1O1F0, 55.735807003123, -226477.911190727306
043CID69321, C7H7N1O2F0, 14.714829386676, -298236.678011380893
044CID136409, C7H6N2O4F0, 21.491558110241, -426382.069899509460
045CID6672, C8H9N1O2F0, 4.704588863815, -322860.468955395421
046CID297, C1H4N0O0F0, -30.004029311816, -25375.273350642558
047CID222, C0H3N1O0F0, -24.437631417005, -35437.366051344340
048CID962, C0H2N0O1F0, -65.498361774082, -47899.007467218132
049CID6326, C2H2N0O0F0, 56.336443574448, -48435.447945646808
050CID6325, C2H4N0O0F0, 5.392432915920, -49220.638478396912
051CID6324, C2H6N0O0F0, -36.146220778504, -49996.281837035913
052CID768, C1H1N1O0F0, 29.107341726507, -58530.405172136343
053CID281, C1H0N0O1F0, -24.299985517669, -71005.483796408234
054CID712, C1H2N0O1F0, -30.963094161453, -71744.930702499094
055CID887, C1H4N0O1F0, -60.364273461957, -72508.804934820674
056CID947, C0H0N2O0F0, -5.505768925288, -68632.454615512231
057CID9321, C0H4N2O0F0, 3.576862889909, -70091.500444860685
058CID784, C0H2N0O2F0, -42.315700123308, -94978.270744613332
059CID280, C1H0N0O2F0, -91.127116579045, -118175.575138903584
060CID948, C0H0N2O1F0, 14.397854543439, -115715.262995117477
061CID24823, C0H0N0O3F0, 35.416717531586, -141268.749039083835
062CID6335, C3H4N0O0F0, 42.761885342896, -73063.587594245026
063CID10037, C3H4N0O0F0, 44.261457143806, -73061.794347998117
064CID123173, C3H4N0O0F0, 66.437051996428, -73039.825831280495
065CID8252, C3H6N0O0F0, -5.702628526163, -73846.153048001662
066CID6351, C3H6N0O0F0, 2.415609637508, -73838.584508159990
067CID6334, C3H8N0O0F0, -44.662148592314, -74619.239863354389
068CID7845, C4H6N0O0F0, 21.752052658221, -97699.334454899368
069CID10419, C4H6N0O0F0, 30.442848801675, -97690.809321263914
070CID80245, C4H6N0O0F0, 41.262297451388, -97679.610229366701
071CID135973, C4H6N0O0F0, 48.946960309944, -97672.386158481145
072CID69972, C4H6N0O0F0, 33.580482413549, -97687.863705559040
073CID9250, C4H8N0O0F0, -7.948302580158, -98463.724353936324
074CID8255, C4H8N0O0F0, -17.597142498576, -98472.333410613242
075CID7843, C4H10N0O0F0, -53.228916148381, -99242.268182209622
076CID6360, C4H10N0O0F0, -54.915295115293, -99243.659631711535
077CID9088, C5H8N0O0F0, 35.789160386188, -122299.940876225568
078CID241, C6H6N0O0F0, 26.218535915000, -145457.999458455271
079CID6329, C1H5N1O0F0, -22.617179448660, -60050.267567117662
080CID6342, C2H3N1O0F0, 12.546400558608, -83161.576384354908
081CID284, C1H2N0O2F0, -95.395793853987, -118912.956428603602
082CID7865, C2H4N0O2F0, -94.209429197500, -143526.231615246282
083CID178, C2H5N1O1F0, -68.334175565441, -131078.905320421008
084CID9033, C2H5N1O0F0, 17.701589574833, -83890.556020739259
085CID9999, C2H0N2O0F0, 78.699766857968, -116309.730844066156
086CID674, C2H7N1O0F0, -25.233130313062, -84667.121048389731
087CID6341, C2H7N1O0F0, -33.143913567460, -84675.189336528629
088CID10038, C2H2N0O1F0, -10.698511295859, -95605.054968972590
089CID6354, C2H4N0O1F0, -20.079384815299, -96349.171194484106
090CID177, C2H4N0O1F0, -47.449088023134, -96375.903348039941
091CID7860, C2H2N0O2F0, -51.502021293276, -142748.674021111482
092CID702, C2H6N0O1F0, -72.022860725434, -97134.864204961817
093CID8254, C2H6N0O1F0, -60.350546350280, -97123.188125529663
094CID7855, C3H3N1O0F0, 44.917040817054, -107009.794768966052
095CID180, C3H6N0O1F0, -62.607629525353, -121005.422411811827
096CID176, C2H4N0O2F0, -110.971582624424, -143542.724567097706
097CID3776, C3H8N0O1F0, -84.504437690244, -121761.411374731293
098CID10903, C3H8N0O1F0, -72.098511506824, -121749.314810731374
099CID1146, C3H9N1O0F0, -30.829663539614, -109286.695950600448
100CID8029, C4H4N0O1F0, -4.861799056049, -144095.945538285537
101CID8027, C4H5N1O0F0, 25.004936077389, -131645.094629026884
102CID1049, C5H5N1O0F0, 36.898622714922, -155514.268757007442
103CID783, C0H2N0O0F0, -8.288772985500, -735.674733713575
